stateabbr,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke
AK,10.110819521096111,31.56013471972525,5.488177967696663,20.77844484395921,8.991942806852137,14.36250486199115,10.183473531947538,18.442494967727132,12.533191850137749,9.1433083766058,21.625233420386127,16.306691892260073,35.33643347631023,3.0105843530818297
AL,10.320866757776242,39.61436675325094,6.047814476366317,24.086466331190348,12.746376131704624,20.033456698313664,14.774885006843274,21.84038022157929,15.144880491589461,10.30575684805115,27.764432068559454,18.176227062963154,39.62891451890423,3.511777697663029
AR,11.719782958049622,37.96652174060295,6.380913872430067,25.33270065415702,11.515779061556465,19.317216327339292,12.23339079574146,23.427491782819192,15.56370241359048,10.23623548128718,31.12723468369993,19.508439946421102,39.557744894002184,3.440913559152695
AZ,13.549793119721768,29.337929111144927,5.21171328127271,20.08600903508877,9.85332301126308,16.715853725264218,11.79722923374445,18.73604904664766,13.112944354864911,9.19231735321828,21.237022011487078,16.165820108715167,31.715869917976303,2.867921519208113
CA,10.747164107146624,28.46041676141476,4.971181047908872,20.441596795546353,10.707798483357736,18.33494241587778,15.916730739312975,21.643394969069636,15.619200555028314,9.507103560986074,24.177213668207933,16.89188126263044,27.85701696396051,2.8626495223188932
CO,11.186209560263231,25.614063916090455,4.709072951189875,22.882415998023557,8.0165704109394,,,15.212720725141253,,,17.447444887609194,16.39654658898726,26.06240986882485,2.547651174391359
CT,10.525918858126108,28.3389132019667,4.737383136559798,21.30057342468877,8.642542196607685,15.695919652821686,12.386277507696454,15.637789606072857,13.627302699546334,8.785772219515652,24.096786285627413,16.74859466724714,30.738517581775906,2.6930759556214348
DC,6.2,30.3,4.1,21.0,8.5,13.8,12.8,13.5,12.0,7.8,15.3,13.7,25.1,3.0
DE,9.484219564072044,32.98333707338966,5.24817550295627,22.060249868284973,10.766372177883582,14.931626729369523,12.446468573770172,17.646705660819173,13.029446601752298,8.311012839775987,25.962077780162744,16.78256971139774,35.491410228891446,2.971613948133549
FL,16.547307807735244,31.416283878508704,5.621704308250361,17.96505343451738,11.100460227857745,,,19.055238582716083,,,24.908703692722543,17.26801602621366,32.174948588534555,3.014022465201779
GA,13.445364844616588,35.34016562656866,5.458124495173808,19.260814675522635,12.127335709623386,18.134732348190564,14.55524397370911,19.79005279519126,15.679731067943099,9.803876382037151,26.107463618947474,17.43281089343371,35.22309360316757,3.3099008002547774
HI,5.777375002737565,27.120766693677318,4.7818279932546375,16.9544176430652,10.206108407612621,18.357149252096978,12.978010731258623,17.404701430104463,12.200491623048116,8.112647204397627,21.629658132760998,15.856396574757452,26.14309489498697,2.9743971441711747
IA,7.628868391792583,30.47960213688016,5.374739935128116,21.4606944133794,9.694684567129158,12.682610556336554,10.586636464716527,16.987972095562082,10.36578847922509,7.186756736897437,23.896271118285004,17.310374131670383,38.18513481869544,2.804349298836198
ID,11.003005908971915,28.874937357418005,5.353323329219493,24.27377078959038,9.02534981006876,13.293546344825376,9.241579180757908,17.26111845725612,11.111016145491071,7.755867699935352,21.66679776196353,16.846104005385392,32.412273872299956,2.871705253962911
IL,10.22186603498295,29.92903102923792,4.949781134350931,20.348027923540915,10.209867802933454,16.527015622550895,14.351227635614068,17.861674146730753,14.040819929202744,8.391279516082975,22.31389127185672,16.326736401363362,34.13573224631398,2.8315803866391134
IN,9.14959337016784,34.862805564797355,5.782334128602289,25.6635626153448,11.477603993975293,15.307863627014124,9.059905344984639,19.876290425776947,12.125074972345683,8.067748270361113,24.229706793151397,18.368310589020357,38.570637020859934,3.0427196302520687
KS,10.262201513750501,31.626914280906185,5.470057194143555,21.357358999095812,10.103719199771705,13.537234958990904,7.8372078466429445,17.46696883504607,12.143562598137574,7.444560457196992,24.95793347814028,16.64559237363932,36.982010178037754,2.833890657547895
LA,9.191516968003194,39.486529145040784,6.380431415045913,27.227698910625676,13.414296155820455,23.2640939941824,19.66434537728854,23.56102891689956,17.992156704500083,11.834559031540524,29.531538156618947,20.203644641533113,40.09274898762334,3.7689642388638567
MA,5.3829235574682155,27.89917764477265,4.867147578326234,24.429106431234164,8.572097223159666,13.008819902049579,14.729639401950458,15.638669477938185,11.981438469658093,7.933758404748888,21.078188397833205,17.047635097051064,27.83720992197679,2.58680356802727
MD,9.083135322415181,33.40379902858601,4.893949468457687,19.965810901147012,10.878887840348236,15.860902132831306,12.218033504090727,17.121980239240216,14.351656079680604,8.197709541694573,22.754597779275297,15.736077405959774,35.00797679780389,2.9333723232725313
ME,8.307368205324984,29.709981686099752,5.577611256944021,28.403767082072438,8.772530457760297,11.492183104118885,15.241584937253089,17.272045488239858,11.189655611466245,8.501619297618321,21.506151377466928,19.557229630146423,32.743569815204026,2.778689335205421
MI,7.1555606250828045,32.70726491574505,5.67256246096387,26.55355277684897,10.10108478489909,16.206509075308976,15.097722283558452,18.40531069290315,13.037885721135344,8.772202741834745,23.875476515232766,18.744085674449714,36.36606865311941,3.0784349587084483
MN,7.78663780620201,27.821031169617356,4.93199073874781,25.12996280579069,8.721503427668498,11.953330451493935,8.287935805900451,15.290076698547953,10.096731651544147,7.440694877891071,21.54812450177272,15.924263998425957,33.59351376532826,2.6502915608608646
MO,8.997186896865536,32.95438417184363,5.623096671993987,25.127903310169923,10.407912584933985,14.355935351244357,11.33811608636481,19.624062558200595,13.166829217000027,8.788723239132537,27.76205555484119,18.515183962622203,36.812611086661384,3.086670533916975
MS,11.913752641751891,41.63830296867422,6.271872687913963,20.08068317385471,13.560649047907306,23.265371455981423,14.322401790550227,23.48059215067809,18.14285249023835,12.453153065848209,33.08743123479997,18.159752843533948,40.66314981786515,3.9274547937398006
MT,9.607860239132107,27.846151025289775,5.1876277502031405,25.890236089174632,8.300623968273253,12.360107606104144,8.787769084924557,17.35032764464795,10.12281619464065,7.994235928668321,19.648095715261814,18.461374602774754,31.591732253185327,2.8775394828798846
NC,10.76400598291443,33.65919454214374,5.5228825885988595,24.79944920900054,10.53038201087486,15.823000004235858,12.889216363873398,18.205715737672357,13.109212132721673,8.765476284606372,23.12215064406225,17.327468352255853,35.17611280702325,3.164651998360252
ND,7.392063979492383,30.036186731465033,5.394822360779183,21.719842888423074,9.034276826125849,11.164417248561396,7.095255443997918,15.78067130402275,9.564903069466883,6.687384010467429,21.48596493277614,14.660712259175689,37.317087844964554,2.733242933817541
NE,10.177793226974297,29.91003852726861,5.193126799391738,18.681042299855548,9.492680420013343,12.8442330308719,8.9835082053265,15.586493217157157,10.297640146362216,6.976026341993122,23.692695579815695,14.778831306127167,38.05132781837087,2.7627268544211523
NH,7.195076104083115,28.173146267317332,4.678716421855924,23.750041652029036,7.607959189707167,10.093876543038112,6.91502646947315,13.462009088664038,9.019224107046584,6.062161870741319,19.5730360937875,16.566462551434604,31.70804779809461,2.4878410857701363
NJ,11.777017728465882,29.26633576222459,4.644903510737031,15.64516854562244,9.404107683608013,14.869782190935823,8.680204190589421,16.254884925605218,13.145366277909462,7.7950222860879625,23.91693179540944,15.573477680466764,28.773875054236964,2.631014548212079
NM,16.05944742829929,30.637430908994695,5.858713464147241,23.895758269273323,11.41304719595147,22.05627802124323,17.84434247491317,23.08340703441442,18.127083193026678,11.61604180096018,24.842583510520594,17.096498908013356,34.53729783815508,3.209207263394876
NV,14.853975887282614,31.00672377223688,5.464316527258374,20.944420585116138,10.599337219223193,18.559806356699173,15.461515935603735,21.463245409094895,16.495967339388095,10.389078709204139,25.445397732256342,19.209919743882114,31.203555788567186,3.0492332012343417
NY,8.20188980961749,29.18451484014023,5.014080613872969,18.02936382396657,9.925143332000111,17.845211182816975,14.655006736142802,17.348412785142663,15.61497003966612,9.024445318739469,25.028071414643794,15.863861964673301,28.911432392468328,2.852103468844507
OH,8.289064184565039,33.38629836329039,5.827087471861808,26.249141428770173,11.316521293472265,14.689322707856626,12.243812692902805,18.467065127473465,12.318256138543461,8.151841500590647,25.84512629184265,18.556500002552216,37.21187600873662,3.0801640282716143
OK,11.603073609662037,36.05171444054629,6.3563734262930005,26.01847362851397,11.559018656608849,19.071900485129483,15.738454601668753,20.628938490556383,15.06805197043162,9.989976279607168,30.580959647475375,18.647991994083995,39.26168976783945,3.341380797009086
OR,8.719943919320965,29.10613403740907,5.296064092372603,27.94587400133117,9.589984118901858,,,18.20417518244742,,,19.26847860726121,18.589951427711313,33.62647339666174,2.812180966906637
RI,8.516989118104659,30.29307237558904,5.216746663019939,23.894537642749214,9.661143406073595,15.815834345898102,13.768644605458435,16.59200324170183,14.146791365325898,8.278610260457066,24.596543641915247,17.541249871094152,32.018248023817314,2.723195542323713
SC,12.290402766001614,34.47279494693516,5.479244844484524,23.110894902625795,11.78653995385584,18.312603485071243,11.132453490533068,19.142983703894263,14.61399743317774,9.128016264422415,24.809624424912172,17.529376070198904,35.92501048623502,3.297374752740017
SD,9.110474032863983,29.836225947062033,5.600739439648993,21.856707149207075,10.11327793868831,,,16.54542370451091,,,23.299832382208713,16.227137306070947,36.21931605058644,2.9737908290556625
TN,11.94087841431624,36.26561183967417,5.905979468879241,29.06872500454934,11.934077689807031,,,21.537979117532235,,,25.741124429218612,20.218871726123567,37.55662842588082,3.2426579365095085
TX,19.347722288054484,32.34857121474164,5.383021326775622,21.214987080981874,12.268151950562952,,,21.640232792520806,,,27.774867865456006,17.06192984736476,35.682055375290524,3.06560294315972
UT,10.446670667339616,28.261115149349067,4.860442802853759,26.950640389409568,8.83309671405492,12.411236859962763,6.207421530060188,15.767366019716796,10.144706192027472,6.760827253839881,18.013788959269608,17.005453875138752,31.5433260806043,2.6542429672274857
VA,9.012033149969989,32.57759282275465,5.210794825519003,22.350800377047403,11.015087105148643,13.572321416813256,11.181415373431737,17.407488446997245,11.707167266058097,7.756113719415746,23.066654438866905,16.65703727191398,34.591240291044066,2.911229392840723
VT,6.354143926370235,26.550253928096872,4.811156132935957,27.83361384912204,7.008310561757265,,,13.475444608766807,,,17.752219477955364,17.34745827921956,28.840553799725242,2.6103125211137557
WA,8.556831646068572,28.200872095003742,4.714999894562849,25.485770899670875,8.559877530694378,,,15.767561984878688,,,17.44631628549785,16.98742024490617,30.58983814586337,2.6347200481442252
WI,8.377497701544419,29.444932886813017,5.348065350358422,24.050535155108747,9.64153943111562,12.75446009782433,13.188980026281547,16.900153780943345,10.635420970237842,7.171512686230675,25.63254591655716,16.50977132136635,37.88575137725003,2.8122171440976134
WV,8.943781081193546,38.4343333857598,6.67346541510827,31.945459104184557,12.8579161961803,17.20886336370542,18.934088932679476,23.812733706243,13.905416123888202,9.576077522518107,31.08693847554658,22.9203920841212,40.76023878255878,3.3238085028200968
WY,11.972538217149092,28.12854317195736,5.320290291920055,22.42830357221435,9.295633300183933,,,17.431386906281077,,,24.683476198438747,16.806561380657765,33.871056615065086,2.7953433162892622
